         116          37         116           6           6          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         117          37         117          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         118          42         118          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         119          42         119          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         120          42         120          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         121          42         121          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         122          42         122          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         123          38         123           6           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         124          27         124           6           6          10           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         125          48         125           6           5          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         126          34         126          12           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         127          42         127          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         128          42         128          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         129          42         129          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         130          42         130          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         131          48         131           6           6          10          11           4           6           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         132          47         132           6           4          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         133          48         133          12           1           6          10           1          13           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         134          47         134          13          26           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         135          37         135           8          16          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         136          42         136          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         137          37         137          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         138          42         138          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         139          42         139          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         140          42         140          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         141          42         141          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         142          42         142          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         143          40         143           8           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         144          38         144           6           5          19           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         145          32         145          10           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         146          42         146          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         147          37         147          13          16           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         148          47         148           8          26          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         149          42         149          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         150          48         150           6           6          10          11           4           6           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         151          47         151           6           4          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         152          48         152          12           1           6          10           1          13           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         153          47         153          13          26           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         154          37         154           8          16          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         155          42         155          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         156          37         156           6           6          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         157          37         157          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         158          42         158          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         159          42         159          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         160          42         160          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         161          42         161          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         162          42         162          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         163          40         163           8           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         164          38         164           6           5          19           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         165          32         165          10           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         166          42         166          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         167          42         167          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         168          42         168          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         169          42         169          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         170          48         170           6           6          10          11           4           6           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         171          47         171           6           4          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         172          48         172          12           1           6          10           1          13           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         173          47         173          13          26           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         174          37         174           8          16          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         175          42         175          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         176          37         176           6           6          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         177          37         177          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         178          42         178          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         179          42         179          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         180          42         180          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         181          42         181          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         182          42         182          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         183          40         183           8           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         184          38         184           6           5          19           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         185          32         185          10           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         186          42         186          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         187          42         187          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         188          42         188          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         189          42         189          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         190          35         190           6           4          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         191          42         191          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         192          42         192          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         193          42         193          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         194          37         194           6           6          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         195          37         195          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         196          42         196          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         197          42         197          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         198          42         198          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         199          42         199          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         200          42         200          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         201          43         201          11           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
